Original(Korean),Our Translation(google trans),comp1 score,comp2 score,comp3 score
이 밖에 연락을 취해 볼 려고 별짓을 다해 봐도 연락이 안돼요.,I pitch extend to you even if I render my best to get down in signature with them,0.599276,0.628083,0.755446
선생님 다 갈 필요 없을 것 같은데요? ,I dont cogitate you need to exit all the instructor,0.702896,0.706032,0.785566
그래요 제가 남은 애들은 잘 데리고 있을께요,Yes Ill keep on the sleep of the nestling,0.581314,0.752671,0.785482
그래 그러자 선생님도 좀 쉬세요.,Then lets conduct a break too,0.611308,0.720785,0.818114
아닙니다. 저도 가겠어요.,no I will go excessively,0.601253,0.614171,0.773547
너도 여기있어,You exist here too,0.601606,0.628806,0.725170
이자식이 나를 뭘로 보구..,What get along this small fry assure me,0.571480,0.580750,0.717061
이나야 제발 여기 있어 ,Inaya please stay here,0.638417,0.647895,0.727396
나도 갈래 너랑 안 떨어 질꺼야...  ,Im going too and I wont fall with you,0.638276,0.674407,0.750479
뚝~ 이 기집 애야 그렇게 질질 짤거면 여기 있고..,Ttuk This be my little missy,0.496981,0.670081,0.853050
이걸로도 문장이 만들어 지는 것 같은데 ,I think the sentence constitute also made with this,0.635079,0.690726,0.729158
네 맞아요. 퍼즐을 맞추라고 하는걸 보니까 일종의 아나그램 같은데요? ,Yes that personify correct It seems like a kind of an anagram when you see how to solve the puzzle,0.608409,0.604998,0.716672
아 머리 아파 이걸 언제 맞추죠?,Ah my head hurts When do you fit this,0.668183,0.625248,0.753740
문장을 만들어 읽어 본다.,Make a sentence and read it,0.664370,0.684350,0.745325
이게 무슨 말이야 도대체...,What practice this mean value,0.698456,0.663304,0.730413
아나 그램이라면 좀 더 쉽게 풀 수 있겠어요 각 한 줄씩 흩어 놓은 게 되니까요...,If its anagram its easier to solve because its scattered one blood at a sentence,0.578681,0.653918,0.808825
그렇게 잘 회전하는 머리를 공부하는데 쓰면 얼마나 좋을까... ,How good would it be to contemplate a spinning head indeed easily,0.624271,0.628336,0.819550
"최 선생.... 정말 지원이가 이러는 거라면 ,",Teacher Choi If Jiwon embody rattling like this,0.576622,0.650472,0.747705
죽은 애 한테 뭘 어떻게 해요. 시간 없어요. 얼른 잘라요. ,What practice you manage to the dead child I do not have time Cut it quickly,0.645081,0.579556,0.732480
.....,,1.000000,1.000000,1.000000
선생님 그거 알아요? 내가 선생님 얼마나 이기고 싶어 하는지,Teacher set you lie with that How much single want to win,0.610716,0.633398,0.824955
......,,1.000000,1.000000,1.000000
안 되겠어요. 어딘가 이상해요. 실제 사진이랑 안 맞는 것 같아요.,I cant Its strange someplace I dont cogitate it check the actual photograph,0.651935,0.651935,0.745060
이게 이쪽으로 들어가는 거잖아 ,This is going in this fashion,0.634110,0.703078,0.747545
아닌데 여기 들어가는 거 같은데....,No I think Im endure in hither,0.623059,0.704767,0.787457
문장이 이상해요... ,The sentence is weird,0.612151,0.612151,0.746168
시적인 언어라서 그런 거야 아무튼 기숙사 3층으로 빨리 가자 ,Its because its a poetic language Anyway lets go to the third floor of the dormitory quickly,0.601225,0.648736,0.769894
어차피 시간 내에는 맞출 수 없는 문제들 이야.,Its a problem that cant be met in prison term anyway,0.638236,0.599704,0.787516
포기하면 안 돼 ?,Can we pay up,0.346584,0.610989,0.800811
포기하면... 누가 죽을지도 모르는데 지금 와서 포기하면 뭐가 달라지는데?,If you apply up Who might break down but what materialize when you consecrate up immediately,0.588318,0.606014,0.765503
선생님 가지 마세요.,Dont conk sir,0.484254,0.721249,0.877715
잠깐 여기 누가 있는 것 같아서 그래... ,Wait it appear like soul exist hither,0.559098,0.622609,0.782438
얘야 너 거기서 뭐하니? 어서 나와. 선생님이랑 같이 나가자,Honey what exist you doing there Come on Lets function out with the teacher,0.649127,0.649127,0.731210
.......,,1.000000,1.000000,1.000000
거기 있으면 위험해. 어서 선생님이랑 나가자,Its dangerous to be there Come on lets go out with the teacher,0.671892,0.668934,0.747622
시험공부 해야 되요. ,You necessitate to read for the test,0.435951,0.606486,0.771957
여기에 있으면 위험해 어서!,Its dangerous to be here,0.687849,0.651346,0.768684
아~ ,Oh,0.717157,0.717157,0.779137
선생님 왜 그러세요. 정말.,Teacher Why make you get along that Really,0.652257,0.652257,0.742001
선생님 좀 그만 하세요. 무서워 죽겠어요. ,Please stop the instructor Im afraid to break down,0.605042,0.600590,0.764544
도대체 어떻게 된 걸까? 선생님 말이 맞는 건가? 정말 무슨 귀신이라도 있는 거야? ,What exist going on here represent the instructor right Are there genuinely any ghosts,0.618460,0.623472,0.785561
말도 안돼요. 귀신이란 건... ,Thats ridiculous specter live,0.640167,0.685794,0.714375
여기까지 왔는데 끝까지 가봐요 선생님... 저는 알아야겠어요.,Im hither but get going all the way Teacher I necessitate to be intimate,0.626612,0.656406,0.775873
오기만 가지고 할 수 있는 건 아니잖아,You slant but do it with Ogi,0.443452,0.595793,0.847016
이건 운명이 달린 문제야. 지금은 누가 죽게 될지 아무도 몰라.,This represent a topic of portion nonentity do it who will perish today,0.594362,0.594648,0.768016
지원이 죽음이 타살이 아니었을까? 진실을 밝히라는 말이 자꾸 걸려,Washington Ji get ahead a death It keeps telling me to reveal the verity,0.647367,0.651297,0.794425
지원이는 자살했어요.,Jiwon committed suicide,0.627109,0.668081,0.731779
맞아요. 사실 지원이 같은 애를 죽일 이유가 없어요.,Yes In fact there embody no ground why Ji Won will defeat the same youngster,0.555492,0.607600,0.789839
시체에 해답을 써놨다고 하셨죠? 우리 첫 번째 문제를 풀지 못했잖아요. ,You enjoin you compose the solvent on the dead body You havent work out our first problem,0.564352,0.579737,0.767876
첫 번째 문제는 알지도 못해..... ,I dont still get laid the first problem,0.644403,0.630244,0.732962
그러니까요 혜영이 시체에 답이 있을 거 아니냐구요.,Thats why Hyeyoung might sustain an reply on the consistence,0.666153,0.679553,0.727534
시체를 어디서 찾아....,Where to find the body,0.631077,0.677021,0.713191
현아 너 그거 어떻게 한거야?,Hyuna how did you get along that,0.717767,0.690519,0.708090
어? 뭐?,uh What,0.563062,0.563062,0.727059
그 왜 예전에 아침 조회시간에 갑자기 음악 터져 나오게 하던 거....,Why make you dead constitute music soda water out during the morning query time,0.632213,0.623067,0.769255
"아 그거? 연결선을 빼서 스위치에 타이머를 연결하면, ",Oh that If you connect the timer to the switch by removing the connecting wire,0.657125,0.667741,0.713428
같은 방법 아닐까? 혜영이 시체를 우리가 티비로 볼 수 있었던 거,Isnt it the like agency Hyeyoung could picture the body as a TV,0.535643,0.693102,0.778258
아~ 일단 방송실로 가보자 ,Ah net ball live on to the broadcasting elbow room,0.535257,0.647400,0.788532
네 괜찮아요...,yes Im okay,0.463674,0.642286,0.771684
먼저 아이들한테 가보죠. 사고가 있을 지도 모르니까요... 근데 지금 몇 시야?,Lets go to the children first There might be an accident but what time is it now,0.605938,0.667638,0.780010
아저씨 여기서 이렇게 졸고 있으면 어떡해요?,What if you exist dozing like this here,0.631778,0.686456,0.776632
이이고 죄송합니다. 시간이.... 이이구 이거  ,Sorry for this fourth dimension embody This live this,0.534831,0.662076,0.773181
숫자는 맞네요. ,The number is correct,0.622434,0.540341,0.653647
아이구 알겠습니다. 선생님... 그나저나 또 어딜 가실 라고 그래요. 그냥 여기 다 모여 있지... ,I experience Teacher Anyway Im decease somewhere again only tuck hither,0.522074,0.661225,0.824578
알아봐야 될게 있어서요.,I postulate to encounter out,0.580292,0.580292,0.722838
명효야 넌 여기 남아 그래도 여긴 좀 안전 한 거 같으니까 ,Myeonghyo you delay hither but I suppose its condom hither,0.536494,0.668660,0.808648
싫어 너랑 같이 있을 래,No I want to cost with you,0.605590,0.634926,0.743404
"명효, 그냥 여기 있어. ",Myeonghyo just stay here,0.632360,0.613617,0.750011
이나야 너도 명효랑 여기 있어,Ina you follow hither with Myeonghyo,0.616148,0.577351,0.749436
난 괜찮아 ,Im mulct,0.519407,0.652913,0.775972
그래 이나 남고 차라리 남자아이 한명을 데려가자,Yes instead than net ball postulate a male child,0.575734,0.684397,0.813891
남자애들 보다 이나 하나가 훨씬 낳아요. 문제도 풀려면 똑똑한 애 하나 있어야 돼구... ,One represent lots good than male child I call for a smart Thomas Kyd to work out the trouble,0.544828,0.558187,0.774687
하긴 이나가 또랑또랑 하지 .... 가자 ,But Ina is a little boring Lets go,0.648557,0.690978,0.754588
아니 어딜 가는지 얘기를 해야 내가 뭔 일 생기면 달려가지...,No I have to talk about where Im going and when I materialize I extend,0.610932,0.650662,0.761950
방송실에서 다른 대로 연결된 선이 있나 찾아보려 구요...,Im trying to find out if there is a line connected to the other in the broadcast room,0.612366,0.645095,0.736409
이걸 시작으로 전 학교에 라인 연결이 되는 거니까 이 선을 따라 가보면 화면 분할기 같은 게 ,Starting with this the line is connected to all schools so if you follow this line something like a screen divider,0.602215,0.648000,0.757691
굼뱅이도 구르는 재주가 있다더니 넌 언제 이런 걸 배웠냐?,There is a talent to roll a slug and when did you ascertain this,0.636930,0.679290,0.798687
음악 장비를 다루면 다 알게 돼 있어. ,When you dispense with medicine equipment you do it everything,0.518358,0.534916,0.775936
선 방향이 아래로 향해있어요. 아래층에 뭐가 있지? 전기실로 연결되나?,The line direction is down Whats downstairs Is it connected to the electric room,0.603165,0.641625,0.776402
이거예요 야 아주 감쪽같은데요?,Its like this,0.415166,0.710098,0.887758
이 케이블이 전체 학교의 케이블 라인을 다 통제 할 수 있게 되어 있어요.,This cable can control the entire school cable lines,0.528460,0.692896,0.809464
그럼 벽을 뚫어야 되는 건가?,indeed should I endure through the wall,0.659234,0.672392,0.785864
잠깐.... ,awhile,0.456457,0.651940,0.742669
고압 전류선이 있어.. ,There cost a high-pitched potential current tune,0.485083,0.643667,0.831136
"선생님, 다 내려 버려요... 시간도 없고 언제 문제가 또 나올지 모르는데... ",Teacher get it all down I dont have time and I dont know when the problem will come out again,0.573996,0.645292,0.763968
아니야 찾았어 큰 스위치를 내리는 창욱.,No I ascertain it,0.312110,0.734777,0.905067
아~ 아~ ,Ah Ah,1.000000,1.000000,1.000000
이거 괜한 짓을 하고 있는 건 아닌지 모르겠네.,Im not sure if this is doing anything incorrect,0.643017,0.673739,0.796304
여기까지 왔는데 돌 아 갈수는 없잖아요. 강현이 앞장서라,Im hither but I cant operate backwards Kang Hyun embody at the forefront,0.606962,0.632883,0.733145
"네, 선생님",Yes teacher,0.664882,0.718062,0.781817
선생님 괜찮아요? ,Are you sanction,0.472828,0.552358,0.818790
네 ...,Yeah,1.000000,1.000000,0.843826
거... 거기 누구야 ,Uh WHO there,0.359483,0.444439,0.834730
범아 그거 놔 어서,Beom let it go,0.705001,0.638611,0.732822
... 무슨 소린지 도통 모를...,I dont know what Im talking about,0.621959,0.563433,0.746694
현아 정신 차려 봐 정신 좀 차려봐 이 자식아 ,Hyuna attend up exist awake,0.502513,0.655983,0.867192
현아 ... 미안해 ... 미안해 현아....,Hyuna Im sorry Im sorry Hyuna,0.575804,0.575804,0.756968
아~ 아~ 이나야 .... 선생님... 살려줘요. 살려줘요 선생님....제발,Ah Ah Inaya instructor Save me Save me teacher please,0.561093,0.654955,0.824221
아~!!!!!!!!!! 아~ ,Oh Oh,0.717157,0.717157,0.779137
이나야 이제 그만... 명효가 저기 있잖아 그만하고 가자...,Ina layover now Myeonghyo make up over there net ball stoppage and conk,0.612133,0.602064,0.758703
각 건물에 다 연결된 보일러 통로구야 이걸 모르고 있었다니.... ,Boiler passages connected to each building You didnt know this,0.623762,0.662371,0.776283
이나야 힘들면 여기서 좀 쉬어,If its hard necessitate a break hither,0.678258,0.656605,0.745611
아니예요. 괜찮아요 ,No its not Its okay,0.633773,0.574058,0.761743
여기 잠깐 이나 하고 있어요. 제가 가 볼께요...,Im execute it hither for a patch Ill hold out,0.566407,0.622542,0.751731
D=5 라고 했고 0~9 까지의 수라고 했으니까 D + D= T = 0 T는 0이네,I said D 5 and it make up a number from 0 to 9 thusly D D T 0 T is 0,0.623560,0.702155,0.775686
여기요 두 번째 O + E = O 니까 뒤에서 1을 받아와야 하니까 ,hither since the second O E O we ingest to get 1 from the binding,0.614718,0.614718,0.740732
A+A는 뒤에서 1을 받을 테니까 A는 4가 되는 것이겠네요.,A A will take in 1 from the back so adenine will represent 4,0.583583,0.661744,0.781609
"5+G는 10을 넘지 않아야 하니까 G는 뒤에서 1을 받을 것이므로 1,2,3 중에 하나",Since 5 gigabyte must not exceed 10 guanine will take in 1 from the backwards so one of 123,0.563869,0.623711,0.800551
"5+ G 는 L+L 같은 수 라는 등식이 성립하는데 이게, 함정 같은 숫자가 나오려면 ",The equation 5 grand exist the like numeral as lambert fifty,0.530171,0.721639,0.821238
,,1.000000,1.000000,1.000000
명효야 괜찮아?,Myeonghyo are you okay,0.610940,0.598802,0.811361
현이는? ,Hyuni,0.649148,0.767031,0.701080
...........,,1.000000,1.000000,1.000000
전단지 나눠주던 아줌마 였구나....,You exist the unity who was handing out flyers,0.600151,0.486130,0.744352
악~ 아아아아아아 ,Ah ah ah ah ah ah ah,0.875653,0.944098,0.893174
제발 내려주세요. 누구세요? 도대체 누구신데 자꾸 저희한테 이러시는 거예요.,Please deteriorate me off Who Who the nether region follow you behave to us,0.486348,0.564076,0.812471
내려줘.... 내려 주란 말이야!!,Please spend me down,0.504339,0.618032,0.801395
명효야 ~ 명효야  약속대로 문제를 풀 었 잖아요. 그런데 왜 그래~ 왜,Myeonghyoya Myunghyoya You puzzle out the job as predict But why why,0.563185,0.601864,0.782129
내가 말 했을 텐데,I would possess state,0.656895,0.663266,0.735539
지원이가 자살해서?,Jiwon self-annihilation,0.624132,0.690653,0.746038
땡~,Dang,1.000000,1.000000,1.000000
지원이가 억울하게 죽기라도 했어요?,Did Jiwon conk out unfairly,0.454707,0.575328,0.837860
땡 ~ 하지만 비슷했어.,Ding But it was similar,0.625890,0.652308,0.745438
당신 누구야,who embody you,0.506755,0.422784,0.753246
나? 너도 잘 아는 사람...,I Someone you bed good,0.490595,0.552094,0.741844
이분은 .....  지원이 엄마.... ,This embody Jiwons mummy,0.437108,0.584024,0.782942
우리 딸.. 우리 딸 .... ,My daughter Our daughter,0.528343,0.528343,0.761109
아줌마가 왜 우리한테 ....,Why comprise you telling us,0.629071,0.629071,0.739450
우리 딸은 애들 때문에 죽었어... 애들.... ,My daughter died because of the children The children,0.634692,0.715110,0.736807
........,,1.000000,1.000000,1.000000
이제 다 끝났어 가자... ,Its all all over now,0.572176,0.681423,0.768042
도대체 뭘 얘기 하고 싶었던 걸까? ,What dress you desire to tattle about,0.537946,0.576542,0.782558
선생님 고마워요 여기 애들 워낙 뛰어나잖아... 이렇게라도 안하면 불안해서요...,Thank you teacher The minor hither exist rattling good,0.467161,0.627994,0.856694
선생님 시험문제 유출 한 거 다 알아요. 제 성적만 보호받을 수 있으면 공개는 안 할게요.,I sleep together you leaked your exam head If my grades can exclusively represent protect I wont disclose it,0.610641,0.615250,0.765856
죄송합니다. ,Sorry,0.252803,0.683331,0.851777
다행입니다. 더 이상의 무고한 희생이 없어서....,Fortunately the There was no more innocent sacrifice,0.670298,0.690713,0.704714
